1366,zoom.us,22.0,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,39,0
280,WindowServer,19.7,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
123,nxtsvc,14.0,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
1352,Skype for Business,13.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,35,0
126,CyOptics,99.8,118.70MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,23.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,18.8,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,13.7,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,9,0
1352,Skype for Business,13.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,33,0
65077,JamfDaemon,10.5,0.00B,0.00B,0.00B,running,2020-06-01 08:44:57,0,3,0
126,CyOptics,50.7,118.45MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,36,0
1366,zoom.us,24.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
349,mds_stores,19.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:59,0,6,0
123,nxtsvc,14.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
1352,Skype for Business,13.1,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,33,0
126,CyOptics,50.9,119.09MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,36,0
1366,zoom.us,24.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
1352,Skype for Business,13.1,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,33,0
280,WindowServer,13.0,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
123,nxtsvc,13.0,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
349,mds_stores,10.5,0.00B,0.00B,0.00B,running,2020-05-29 13:51:59,0,6,0
126,CyOptics,66.0,79.65MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,38,0
1366,zoom.us,26.5,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
1261,Google Chrome,19.1,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,49,0
123,nxtsvc,18.3,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,17.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
349,mds_stores,17.3,0.00B,0.00B,0.00B,running,2020-05-29 13:51:59,0,5,0
1352,Skype for Business,13.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,33,0
126,CyOptics,47.7,87.25MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,26.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
280,WindowServer,16.5,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1352,Skype for Business,14.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
123,nxtsvc,12.6,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
1261,Google Chrome,11.0,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,50,0
126,CyOptics,102.7,87.25MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,24.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,18.5,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,18.3,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1261,Google Chrome,16.0,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,43,0
1352,Skype for Business,13.5,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
64187,Google Chrome Helper (Renderer),11.8,0.00B,0.00B,0.00B,running,2020-06-01 10:51:22,0,20,0
126,CyOptics,67.9,86.64MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,38,0
1366,zoom.us,26.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
280,WindowServer,18.4,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,9,0
1352,Skype for Business,13.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,30,0
1261,Google Chrome,13.5,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,40,0
123,nxtsvc,12.4,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
64187,Google Chrome Helper (Renderer),11.0,0.00B,0.00B,0.00B,running,2020-06-01 10:51:22,0,20,0
126,CyOptics,53.1,87.57MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,38,0
1366,zoom.us,24.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,37,0
123,nxtsvc,17.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,14.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1261,Google Chrome,14.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,43,0
1352,Skype for Business,13.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
126,CyOptics,45.1,87.55MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,25.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
280,WindowServer,16.2,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1352,Skype for Business,15.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
123,nxtsvc,12.0,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
64585,Google Chrome Helper (Renderer),11.7,0.00B,0.00B,0.00B,running,2020-06-01 10:51:36,0,20,0
1549,Microsoft Teams Helper,11.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:45,0,28,0
126,CyOptics,65.5,123.20MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,27.0,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,39,0
280,WindowServer,25.5,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1261,Google Chrome,20.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,45,0
123,nxtsvc,16.4,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
1352,Skype for Business,14.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,32,0
1549,Microsoft Teams Helper,10.6,0.00B,0.00B,0.00B,running,2020-05-29 13:56:45,0,29,0
126,CyOptics,92.6,125.06MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1366,zoom.us,24.2,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,18.7,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,15.6,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1352,Skype for Business,13.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
62982,jamf,11.4,0.00B,0.00B,0.00B,running,2020-06-01 10:50:35,0,8,0
126,CyOptics,81.8,125.15MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,38,0
1366,zoom.us,24.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
280,WindowServer,16.5,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1261,Google Chrome,15.1,0.00B,0.00B,0.00B,running,2020-05-29 13:56:38,0,41,0
1352,Skype for Business,14.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,30,0
123,nxtsvc,13.8,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
62982,jamf,11.9,0.00B,0.00B,0.00B,running,2020-06-01 10:50:35,0,8,0
126,CyOptics,25.4,125.34MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
51710,installd,25.0,0.00B,0.00B,0.00B,running,2020-05-29 14:33:40,0,6,0
1366,zoom.us,24.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,19.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
280,WindowServer,13.9,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
1352,Skype for Business,13.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
62982,jamf,12.5,0.00B,0.00B,0.00B,running,2020-06-01 10:50:35,0,14,0
67395,Google Chrome Helper (Renderer),11.5,0.00B,0.00B,0.00B,running,2020-06-01 10:53:25,0,22,0
1941,softwareupdated,75.2,0.00B,0.00B,0.00B,running,2020-05-29 13:57:03,0,13,0
67980,du,53.4,0.00B,0.00B,0.00B,running,2020-06-01 10:53:47,0,1,0
1366,zoom.us,25.8,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,38,0
123,nxtsvc,20.8,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
126,CyOptics,20.1,125.56MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
280,WindowServer,14.2,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
65077,JamfDaemon,14.1,0.00B,0.00B,0.00B,running,2020-06-01 08:44:57,0,3,0
1352,Skype for Business,13.7,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
67395,Google Chrome Helper (Renderer),11.4,0.00B,0.00B,0.00B,running,2020-06-01 10:53:25,0,22,0
75762,opendirectoryd,11.1,0.00B,0.00B,0.00B,running,2020-06-01 08:51:39,0,14,0
67980,du,39.1,0.00B,0.00B,0.00B,running,2020-06-01 10:53:47,0,1,0
1366,zoom.us,23.4,0.00B,0.00B,0.00B,running,2020-05-29 13:56:40,0,37,0
123,nxtsvc,20.1,0.00B,0.00B,0.00B,running,2020-05-29 13:51:50,0,9,0
126,CyOptics,16.6,125.56MB,0.00B,0.00B,running,2020-05-29 13:51:50,0,37,0
1352,Skype for Business,14.3,0.00B,0.00B,0.00B,running,2020-05-29 13:56:39,0,31,0
280,WindowServer,14.0,0.00B,0.00B,0.00B,running,2020-05-29 13:51:53,0,10,0
67395,Google Chrome Helper (Renderer),13.6,0.00B,0.00B,0.00B,running,2020-06-01 10:53:25,0,18,0
67980,du,60.1,0.00B,0.00B,0.00B,running,2020-06-01 10:53:47,0,1,0
